Year,Month,Day,Data,tmmn(degC),tmmx(degC),pr(mm),rmin(%),rmax(%),vs(mps),vpd(kPa),flood
1979,2,14,2/14/1979,9.75,24.65,0,49,86.5,5.7,0.84,FALSE
1979,2,15,2/15/1979,10.35,25.35,0,47.7,87.7,5.7,0.92,FALSE
1979,2,16,2/16/1979,0.55,17.15,0,46.4,84.1,7.1,0.63,FALSE
1979,2,17,2/17/1979,-5.95,2.05,22.9,53.8,92.1,4.6,0.14,FALSE
1979,2,18,2/18/1979,-2.75,2.45,8.7,57.8,93.8,3.7,0.18,FALSE
1979,2,19,2/19/1979,-3.65,8.15,6,47.8,95.4,2.4,0.28,FALSE
1979,2,20,2/20/1979,-0.75,11.45,4.5,68.7,94.2,4.1,0.24,FALSE
1979,2,21,2/21/1979,7.45,19.35,5.9,66.6,98.1,2.6,0.42,FALSE
1979,2,22,2/22/1979,13.65,22.65,20.2,63.4,98,5.3,0.66,FALSE
1979,2,23,2/23/1979,15.55,22.05,50.4,57.2,98.2,3.5,0.66,FALSE
1979,2,24,2/24/1979,13.45,22.95,8.9,54.4,99,3.1,0.79,FALSE
1979,2,25,2/25/1979,2.25,13.35,0.4,45.9,93.2,9.1,0.5,FALSE
1979,2,26,2/26/1979,-2.55,11.95,0,43.7,84.7,3.6,0.47,FALSE
1979,2,27,2/27/1979,-0.85,16.05,0,37.9,75.8,2.9,0.62,FALSE
1979,2,28,2/28/1979,7.75,21.85,2.6,41.3,92.6,4.9,0.69,FALSE
1979,3,1,3/1/1979,9.15,20.15,6.3,40,91.8,1.7,0.78,FALSE
1979,3,2,3/2/1979,7.55,24.95,26.7,47.8,80.1,4.7,0.82,FALSE
1979,3,3,3/3/1979,15.25,25.15,29.7,51,93.9,6.8,0.88,FALSE
1979,3,4,3/4/1979,5.35,17.25,0,43.7,94.9,4.6,0.67,FALSE
1979,3,5,3/5/1979,0.65,13.95,0,32,77.6,2.3,0.59,FALSE
1979,3,6,3/6/1979,0.45,20.05,0,30.7,72.5,3.6,0.82,FALSE
1979,3,7,3/7/1979,3.75,19.35,0,33.2,79.9,3.4,0.69,FALSE
1979,3,8,3/8/1979,2.25,14.55,0,37.4,79.9,2.6,0.54,FALSE
1979,3,9,3/9/1979,2.75,23.75,1,42,75.7,4.8,0.9,FALSE
1979,3,10,3/10/1979,6.75,14.85,12.2,41.4,93.4,4,0.41,FALSE
1979,3,11,3/11/1979,0.15,15.15,0,33.5,91.3,3,0.59,FALSE
1979,3,12,3/12/1979,2.25,22.05,0,32.1,74.8,3.1,0.9,FALSE
1979,3,13,3/13/1979,6.15,22.95,0,37.1,79.8,5.2,0.74,FALSE
1979,3,14,3/14/1979,6.35,17.65,1.4,32.9,86.1,5.2,0.59,FALSE
1979,3,15,3/15/1979,2.35,15.25,0,35.1,75,3.5,0.56,FALSE
1979,3,16,3/16/1979,6.65,14.95,0,40.4,75.4,2,0.6,FALSE
1979,3,17,3/17/1979,9.15,26.25,0,45.7,73.5,5.1,1.08,FALSE
1979,3,18,3/18/1979,11.45,27.15,0,44.9,81.6,5.9,1.04,FALSE
1979,3,19,3/19/1979,16.65,28.75,0.8,40.4,82.2,3.9,1.35,FALSE
1979,3,20,3/20/1979,16.35,26.75,2.3,40.2,89.7,3.2,1.12,FALSE
1979,3,21,3/21/1979,16.75,26.75,4.3,42.4,80.3,2.2,1.13,FALSE
1979,3,22,3/22/1979,16.15,27.15,9.1,46.2,94.8,5.3,1.09,FALSE
1979,3,23,3/23/1979,8.65,20.25,2.2,42.9,96.3,8.5,0.66,FALSE
1979,3,24,3/24/1979,3.85,15.35,0,32.2,80.1,6.6,0.61,FALSE
1979,3,25,3/25/1979,-1.15,13.95,0,28,79.6,3.9,0.59,FALSE
1979,3,26,3/26/1979,1.15,21.35,0,35,67.4,3,0.88,FALSE
1979,3,27,3/27/1979,7.75,25.85,0,37.7,79.7,3.5,1.1,FALSE
1979,3,28,3/28/1979,9.35,26.75,0,39.7,82.7,5.3,1.06,FALSE
1979,3,29,3/29/1979,13.25,26.65,0,41.7,84.2,7,1.07,FALSE
1979,3,30,3/30/1979,14.95,26.85,2,44.4,84,6.3,0.96,FALSE
1979,3,31,3/31/1979,17.85,27.55,9.3,50.1,95.8,5.4,1.07,FALSE
1979,4,1,4/1/1979,17.65,27.05,6.5,53.6,100,6.8,0.83,TRUE
1979,4,2,4/2/1979,11.75,21.35,36,58.9,100,5.2,0.41,TRUE
1979,4,3,4/3/1979,10.25,23.25,22.1,65,99.3,4.8,0.62,TRUE
1979,4,4,4/4/1979,9.05,21.55,5.2,46.9,100,4.2,0.56,TRUE
1979,4,5,4/5/1979,3.85,19.35,0,39.7,84.5,1.6,0.66,TRUE
1979,4,6,4/6/1979,6.45,24.05,0,41.6,75.1,1.6,0.91,TRUE
1979,4,7,4/7/1979,8.55,26.25,1.2,36.9,79.1,3.5,1.05,TRUE
1979,4,8,4/8/1979,13.55,28.35,16.8,44.6,100,5.6,0.76,TRUE
1979,4,9,4/9/1979,10.75,22.15,0.7,45.3,100,4,0.62,TRUE
1979,4,10,4/10/1979,7.15,25.65,0,52.6,89.2,5.8,0.65,TRUE
1979,4,11,4/11/1979,18.05,29.25,41.7,53.6,91.8,9.3,0.98,TRUE
1979,4,12,4/12/1979,20.35,27.25,48.6,52.5,100,4.9,0.79,TRUE
1979,4,13,4/13/1979,15.65,27.55,1.3,56.3,100,3.2,0.75,TRUE
1979,4,14,4/14/1979,10.95,24.95,0,34.2,87.9,1.8,1.03,TRUE
1979,4,15,4/15/1979,10.65,26.55,0,36.3,71.5,2.2,1.17,TRUE
1979,4,16,4/16/1979,11.55,28.45,0,35.2,76,1.6,1.35,TRUE
1979,4,17,4/17/1979,12.45,29.05,0,32.9,74.7,1.6,1.42,TRUE
1979,4,18,4/18/1979,15.75,27.25,0,34.5,77.2,1.5,1.12,TRUE
1979,4,19,4/19/1979,16.55,25.95,0,47.1,84.5,2.8,0.92,TRUE
1979,4,20,4/20/1979,15.45,23.45,1.2,53.2,88.6,3.6,0.65,TRUE
1979,4,21,4/21/1979,16.75,24.15,19,62,97.2,5.9,0.64,TRUE
1979,4,22,4/22/1979,17.45,23.85,28.8,61.9,100,6.5,0.65,TRUE
1979,4,23,4/23/1979,14.95,21.85,25.5,64.8,100,4.2,0.44,TRUE
1979,4,24,4/24/1979,16.95,25.95,0.7,62.4,100,3.1,0.78,TRUE
1979,4,25,4/25/1979,15.35,27.95,0.7,54.3,93.1,1.7,0.84,TRUE
1979,4,26,4/26/1979,16.85,26.25,0.3,55.1,91.4,3.7,0.8,TRUE
1979,4,27,4/27/1979,10.15,22.25,0,39.9,91.1,3.1,0.73,TRUE
1979,4,28,4/28/1979,10.05,20.15,0,38.8,87.4,3.3,0.75,TRUE
1979,4,29,4/29/1979,9.45,18.35,0.4,42,84.7,1.4,0.55,TRUE
1979,4,30,4/30/1979,8.95,24.75,0,51.5,89.6,1.9,0.77,TRUE
1979,5,1,5/1/1979,12.75,27.05,0,46.9,89.7,2.6,0.92,FALSE
1979,5,2,5/2/1979,16.95,28.35,0.9,55.3,92.6,5.4,0.79,FALSE
1979,5,3,5/3/1979,18.85,30.65,29.9,56.4,100,5.5,0.84,FALSE
1979,5,4,5/4/1979,17.75,24.35,31.9,56.7,100,3.6,0.48,FALSE
1979,5,5,5/5/1979,13.25,25.15,0,55.9,94.4,2.5,0.74,FALSE
1979,5,6,5/6/1979,12.75,26.75,0,48,91.4,2.6,0.9,FALSE
1979,5,7,5/7/1979,14.55,29.35,0,51.7,93.4,3.9,0.79,FALSE
1979,5,8,5/8/1979,19.45,30.65,0,52.1,94.6,3.1,1.06,FALSE
1979,5,9,5/9/1979,19.45,30.55,0,52.7,94,3.1,0.99,FALSE
1979,5,10,5/10/1979,19.65,33.45,0.9,51.6,94.2,3.6,1.2,FALSE
1979,5,11,5/11/1979,22.45,30.15,20.1,51.4,100,2.1,0.92,FALSE
1979,5,12,5/12/1979,16.95,26.45,5.6,58.2,100,3.7,0.63,FALSE
1979,5,13,5/13/1979,12.35,23.75,0,38.9,95.7,3,0.84,FALSE
1979,5,14,5/14/1979,10.25,26.45,0,39.3,88.5,0.8,1.05,FALSE
1979,5,15,5/15/1979,13.75,29.45,0,39.9,86.8,1.3,1.27,FALSE
1979,5,16,5/16/1979,16.55,30.05,0,43.6,83.4,2.1,1.31,FALSE
1979,5,17,5/17/1979,14.85,29.25,0,35.6,86.2,2.2,1.31,FALSE
1979,5,18,5/18/1979,15.05,30.25,0,43.1,84.3,3.2,1.2,FALSE
1979,5,19,5/19/1979,16.05,29.75,0,39,92.4,3.7,1.13,FALSE
1979,5,20,5/20/1979,16.15,30.35,0,45.8,91.7,4.1,1.09,FALSE
1979,5,21,5/21/1979,20.25,28.25,0.5,40.3,90.9,2.7,1.09,FALSE
1979,5,22,5/22/1979,19.05,27.65,4.7,45.9,90.9,4.1,0.82,FALSE
1979,5,23,5/23/1979,19.65,26.05,3.8,53.9,100,2,0.76,FALSE
1979,5,24,5/24/1979,12.85,25.35,0,48.5,92.2,4.5,0.81,FALSE
1979,5,25,5/25/1979,9.35,22.55,0,32,87.8,3.5,0.91,FALSE
1979,5,26,5/26/1979,8.85,24.85,0,34.5,82.2,2.9,0.94,FALSE
1979,5,27,5/27/1979,13.65,25.75,1.7,41.7,88,3,0.64,FALSE
1979,5,28,5/28/1979,18.65,29.35,12,52.9,93.9,4,0.92,FALSE
1979,5,29,5/29/1979,19.95,27.55,23.4,53.9,100,3.9,0.76,FALSE
1979,5,30,5/30/1979,19.45,27.75,10.6,56.1,100,4.1,0.81,FALSE
1979,5,31,5/31/1979,16.85,31.45,0,52.9,95.3,1.9,0.97,FALSE
1979,6,1,6/1/1979,22.35,31.65,0.4,54.4,95.3,1.7,1.06,FALSE
1979,6,2,6/2/1979,22.35,30.25,10.2,53.5,100,2.3,0.86,FALSE
1979,6,3,6/3/1979,21.65,29.05,0.5,57.2,100,2.7,0.79,FALSE
1979,6,4,6/4/1979,20.35,30.25,13.1,50.9,100,1.2,0.93,FALSE
1979,6,5,6/5/1979,20.15,31.05,14.7,54.4,100,2.4,0.85,FALSE
1979,6,6,6/6/1979,20.55,31.35,2.9,58.3,100,4.1,0.78,FALSE
1979,6,7,6/7/1979,21.35,31.75,0,57.7,100,5,0.82,FALSE
1979,6,8,6/8/1979,20.85,33.55,0,47.7,100,2.7,1.19,FALSE
1979,6,9,6/9/1979,21.55,34.25,0,49.4,99.1,2.4,1.26,FALSE
1979,6,10,6/10/1979,22.25,31.15,11.3,49.9,100,3.9,0.78,FALSE
1979,6,11,6/11/1979,13.35,25.45,0,41.6,98,6,0.86,FALSE
1979,6,12,6/12/1979,10.45,28.65,0,39.3,94.5,2.6,1.12,FALSE
1979,6,13,6/13/1979,14.65,30.45,0,39.9,86,1.4,1.36,FALSE
1979,6,14,6/14/1979,16.55,31.15,0,37.7,89,2.3,1.47,FALSE
1979,6,15,6/15/1979,14.95,30.75,0,40.8,89.8,2.8,1.18,FALSE
1979,6,16,6/16/1979,18.15,31.85,0,45.8,93.2,2.5,1.22,FALSE
1979,6,17,6/17/1979,17.75,32.35,0,43.4,99.1,3.3,1.21,FALSE
1979,6,18,6/18/1979,18.85,32.75,0,44.4,99,3.3,1.23,FALSE
1979,6,19,6/19/1979,20.55,32.45,0,46.9,100,3.6,0.98,FALSE
1979,6,20,6/20/1979,20.25,33.65,0,47.5,100,3.4,1.22,FALSE
1979,6,21,6/21/1979,22.05,32.25,5.9,48.6,100,2.7,1.12,FALSE
1979,6,22,6/22/1979,22.35,33.15,1.1,48.1,98.1,2.6,1.27,FALSE
1979,6,23,6/23/1979,22.95,32.25,16.5,48.9,100,3.4,1.13,FALSE
1979,6,24,6/24/1979,20.95,30.95,9.2,54.1,100,3,0.88,FALSE
1979,6,25,6/25/1979,18.65,30.95,0,51,97.8,2.9,1.05,FALSE
1979,6,26,6/26/1979,15.15,29.35,0,44.1,99.2,2.6,1,FALSE
1979,6,27,6/27/1979,16.25,31.35,0,46.9,95.2,2.4,1.2,FALSE
1979,6,28,6/28/1979,17.15,32.45,0.3,44.8,92.1,1.4,1.32,FALSE
1979,6,29,6/29/1979,19.65,32.15,3,46.1,100,3.5,0.88,FALSE
1979,6,30,6/30/1979,23.75,34.55,2.1,49.7,100,3.1,1.41,FALSE
1979,7,1,7/1/1979,22.85,34.65,0,50.8,95.8,3.1,1.23,FALSE
1979,7,2,7/2/1979,21.65,34.65,0,52.2,100,3.1,1.06,FALSE
1979,7,3,7/3/1979,24.45,35.25,0,48.5,100,2.9,1.39,FALSE
1979,7,4,7/4/1979,21.65,34.55,0,48.8,100,3,1.14,FALSE
1979,7,5,7/5/1979,22.85,34.45,0,51.7,100,2.2,1.08,FALSE
1979,7,6,7/6/1979,25.65,34.55,4.7,54.1,98.1,2.1,1.22,FALSE
1979,7,7,7/7/1979,24.25,33.05,8.1,52.9,100,2.1,0.99,FALSE
1979,7,8,7/8/1979,23.75,31.95,9.5,57.2,100,2.9,0.85,FALSE
1979,7,9,7/9/1979,22.85,31.75,3.1,56.7,100,2.8,0.8,FALSE
1979,7,10,7/10/1979,23.35,30.55,12.2,58.3,100,2,0.69,FALSE
1979,7,11,7/11/1979,16.25,27.45,41.9,63.3,100,3,0.08,FALSE
1979,7,12,7/12/1979,16.95,31.65,3.4,62.4,100,3.6,0.54,FALSE
1979,7,13,7/13/1979,21.45,31.55,2.9,61.1,100,3.4,0.71,FALSE
1979,7,14,7/14/1979,20.15,32.35,2.4,58.8,100,2.9,0.77,FALSE
1979,7,15,7/15/1979,20.65,34.05,0.3,56.7,100,2.6,0.96,FALSE
1979,7,16,7/16/1979,23.95,34.15,0,55.3,97.9,2.1,1.05,FALSE
1979,7,17,7/17/1979,24.95,34.65,0,55.6,100,2.8,1.12,FALSE
1979,7,18,7/18/1979,23.95,31.85,7.3,56.4,100,3.3,0.79,FALSE
1979,7,19,7/19/1979,22.65,31.35,8.5,60.7,100,2.1,0.7,FALSE
1979,7,20,7/20/1979,22.35,29.85,10.9,61.4,100,1.5,0.62,FALSE
1979,7,21,7/21/1979,22.25,31.95,3,56.5,100,1,0.86,FALSE
1979,7,22,7/22/1979,23.25,31.85,0,59.6,100,2.3,0.8,FALSE
1979,7,23,7/23/1979,22.65,31.75,2,58.5,100,4.5,0.82,FALSE
1979,7,24,7/24/1979,21.55,30.85,4.2,58.4,100,5,0.68,FALSE
1979,7,25,7/25/1979,22.35,30.35,21.4,62.8,100,6.3,0.61,FALSE
1979,7,26,7/26/1979,21.75,31.45,17.7,62.6,100,5.9,0.67,FALSE
1979,7,27,7/27/1979,22.45,32.85,2.4,53.6,100,5.9,0.88,FALSE
1979,7,28,7/28/1979,23.05,33.15,5.7,59.3,100,4.3,0.79,FALSE
1979,7,29,7/29/1979,22.25,34.25,0,55.3,100,2.9,1.01,FALSE
1979,7,30,7/30/1979,22.15,34.35,0,46.9,100,3.2,1.21,FALSE
1979,7,31,7/31/1979,20.65,34.25,0,50.9,100,3.9,0.84,FALSE
1979,8,1,8/1/1979,22.55,31.85,10.6,54.5,100,3.3,0.69,FALSE
1979,8,2,8/2/1979,23.15,30.95,16.8,56.7,100,1.9,0.72,FALSE
1979,8,3,8/3/1979,22.55,33.85,0,55.4,100,2,1.05,FALSE
1979,8,4,8/4/1979,23.75,34.05,0,52.7,100,1.5,1.24,FALSE
1979,8,5,8/5/1979,23.75,34.25,0,50.7,97.9,1.6,1.3,FALSE
1979,8,6,8/6/1979,20.75,34.75,0,50.4,100,1.7,1.23,FALSE
1979,8,7,8/7/1979,20.45,34.95,0,43.1,100,1.5,1.36,FALSE
1979,8,8,8/8/1979,21.05,34.65,0,45.5,100,1.7,1.27,FALSE
1979,8,9,8/9/1979,22.15,32.65,1.6,48.2,100,2.3,0.88,FALSE
1979,8,10,8/10/1979,22.45,31.75,3.9,58.3,100,2.7,0.77,FALSE
1979,8,11,8/11/1979,22.35,30.95,14.1,60.2,100,2.7,0.72,FALSE
1979,8,12,8/12/1979,19.95,28.95,0,53.9,100,2.3,0.8,FALSE
1979,8,13,8/13/1979,16.45,31.85,0,50.2,100,2,0.98,FALSE
1979,8,14,8/14/1979,20.55,32.95,0.6,50.1,100,1.8,1.12,FALSE
1979,8,15,8/15/1979,19.25,33.35,0,48.4,100,2,1.2,FALSE
1979,8,16,8/16/1979,17.15,31.65,0,49.5,100,2.8,0.85,FALSE
1979,8,17,8/17/1979,18.55,32.85,1.6,55.4,100,1.6,1.01,FALSE
1979,8,18,8/18/1979,19.35,34.05,0,47.6,100,2.1,1.19,FALSE
1979,8,19,8/19/1979,20.35,33.75,0,50.3,100,2,1.02,FALSE
1979,8,20,8/20/1979,20.95,33.35,1.3,51.1,100,2.5,0.99,FALSE
1979,8,21,8/21/1979,21.35,32.45,23.1,51.8,100,2.4,0.83,FALSE
1979,8,22,8/22/1979,22.45,31.05,9.7,59.6,100,2.9,0.74,FALSE
1979,8,23,8/23/1979,20.75,31.65,8.1,56.8,100,2.8,0.78,FALSE
1979,8,24,8/24/1979,21.95,30.35,6.3,58.7,100,2.2,0.73,FALSE
1979,8,25,8/25/1979,20.75,30.05,12.5,55.3,100,1.8,0.69,FALSE
1979,8,26,8/26/1979,21.15,31.35,0,59.4,100,2.1,0.81,FALSE
1979,8,27,8/27/1979,22.15,32.45,0,58.3,100,2.3,0.91,FALSE
1979,8,28,8/28/1979,21.55,33.35,0,53.7,100,2.7,1.02,FALSE
1979,8,29,8/29/1979,21.05,34.25,0,52,100,2,1.1,FALSE
1979,8,30,8/30/1979,23.55,34.55,0,50.2,100,2.2,1.26,FALSE
1979,8,31,8/31/1979,23.55,32.95,1,49.3,100,2.4,1.08,FALSE
1979,9,1,9/1/1979,23.65,31.85,13.4,51.4,96.8,3.1,0.98,FALSE
1979,9,2,9/2/1979,23.25,32.05,0.7,57.8,100,2.2,0.99,FALSE
1979,9,3,9/3/1979,23.45,31.85,0,55.1,96.5,1.8,0.99,FALSE
1979,9,4,9/4/1979,24.05,31.45,0,56.1,95.3,1.4,1,FALSE
1979,9,5,9/5/1979,24.35,31.95,1.1,61.1,95.6,1.3,0.92,FALSE
1979,9,6,9/6/1979,24.95,31.35,0,57.1,97,1,1.04,FALSE
1979,9,7,9/7/1979,21.25,32.55,0,41.5,93.4,2,1.32,FALSE
1979,9,8,9/8/1979,15.75,29.75,0,42.9,94.9,3.8,0.91,FALSE
1979,9,9,9/9/1979,11.05,28.45,0,47.5,98.6,3.2,0.8,FALSE
1979,9,10,9/10/1979,17.25,31.75,0,47.4,97.7,3.1,1.13,FALSE
1979,9,11,9/11/1979,17.25,30.45,0,43.3,94.4,3.4,1.11,FALSE
1979,9,12,9/12/1979,15.95,31.15,0,52.2,96.2,4.8,0.86,FALSE
1979,9,13,9/13/1979,20.75,26.45,0.8,57.5,97.6,6.3,0.58,FALSE
1979,9,14,9/14/1979,14.95,27.45,0,48.6,100,4.3,0.89,FALSE
1979,9,15,9/15/1979,8.85,24.85,0,37.8,97.8,4.4,0.84,FALSE
1979,9,16,9/16/1979,8.05,26.55,1.9,48.9,98.2,3.8,0.67,FALSE
1979,9,17,9/17/1979,17.65,27.95,5.6,58.5,100,3.2,0.58,FALSE
1979,9,18,9/18/1979,21.55,29.15,0.8,65.2,100,2.3,0.58,FALSE
1979,9,19,9/19/1979,22.25,29.15,15,60.7,100,2.9,0.72,FALSE
1979,9,20,9/20/1979,15.85,25.65,86.8,62.8,100,5.2,0.06,FALSE
1979,9,21,9/21/1979,16.85,23.75,1.4,69.5,100,4.5,0.32,FALSE
1979,9,22,9/22/1979,13.35,25.95,0,53.6,99.6,3.2,0.73,FALSE
1979,9,23,9/23/1979,14.45,25.45,0,47.6,93.2,3,0.85,FALSE
1979,9,24,9/24/1979,10.35,25.55,0,54.4,95.8,2.6,0.69,FALSE
1979,9,25,9/25/1979,12.85,28.15,0,53.7,93.6,3.2,0.87,FALSE
1979,9,26,9/26/1979,14.65,29.45,0,48.3,95.9,3,1.01,FALSE
1979,9,27,9/27/1979,14.25,28.25,0,48.8,95.7,2.2,0.72,FALSE
1979,9,28,9/28/1979,19.75,29.75,0,51.7,94.4,1.1,1.06,FALSE
1979,9,29,9/29/1979,18.25,29.95,0,49.5,91.4,1.4,1.11,FALSE
1979,9,30,9/30/1979,16.95,32.15,0,46,93.6,1.7,1.34,FALSE
1979,10,1,10/1/1979,16.65,33.35,0,36.9,90.3,2.9,1.63,FALSE
1979,10,2,10/2/1979,15.55,26.65,0,21.6,95.6,3.3,1.33,FALSE
1979,10,3,10/3/1979,9.95,30.75,0,33.7,80.2,3.3,1.37,FALSE
1979,10,4,10/4/1979,10.85,24.55,0,24,98.1,4.5,0.97,FALSE
1979,10,5,10/5/1979,5.95,25.15,0,24.7,83.6,2.9,1.22,FALSE
1979,10,6,10/6/1979,7.95,29.15,0,26.5,94.2,4.2,1.32,FALSE
1979,10,7,10/7/1979,9.45,31.35,0,32,88.5,3,1.54,FALSE
1979,10,8,10/8/1979,13.45,30.95,0,33.8,97.5,5.2,1.29,FALSE
1979,10,9,10/9/1979,14.65,31.75,1.7,39.2,99.5,4.2,1.39,FALSE
1979,10,10,10/10/1979,9.15,19.05,0.7,32.7,98.8,3.9,0.84,FALSE
1979,10,11,10/11/1979,4.25,26.15,0,31.3,91.1,3.9,1.16,FALSE
1979,10,12,10/12/1979,9.35,30.65,0,36.9,95.4,4.1,1.31,FALSE
1979,10,13,10/13/1979,9.65,23.45,0,37.3,95.2,4.5,0.72,FALSE
1979,10,14,10/14/1979,3.15,21.35,0,25.9,92.5,3.7,0.93,FALSE
1979,10,15,10/15/1979,5.55,26.85,0,30.9,78.9,3.1,1.29,FALSE
1979,10,16,10/16/1979,12.35,29.35,0,35.4,91.7,2.9,1.15,FALSE
1979,10,17,10/17/1979,16.35,30.45,0,42.3,93.8,2.1,1.34,FALSE
1979,10,18,10/18/1979,15.65,30.95,0,36.2,90.3,2.6,1.51,FALSE
1979,10,19,10/19/1979,16.35,32.05,0,37.1,96.7,4.7,1.38,FALSE
1979,10,20,10/20/1979,19.15,32.55,0,43.1,99.3,5.9,1.22,FALSE
1979,10,21,10/21/1979,20.25,31.95,0,44.6,99,5.8,1.2,FALSE
1979,10,22,10/22/1979,14.65,25.65,21.5,55,97,5.8,0.51,FALSE
1979,10,23,10/23/1979,6.05,18.35,0,36,100,4,0.68,FALSE
1979,10,24,10/24/1979,3.35,21.25,0,32.3,87.7,2,0.88,FALSE
1979,10,25,10/25/1979,6.35,23.65,0,34.9,79.6,1.5,1.04,FALSE
1979,10,26,10/26/1979,8.95,25.95,0,32.7,79.2,2.4,1.23,FALSE
1979,10,27,10/27/1979,7.75,27.65,0,37.9,90.5,4,1.13,FALSE
1979,10,28,10/28/1979,11.65,27.65,15.3,43.4,100,3.3,0.83,FALSE
1979,10,29,10/29/1979,18.65,29.05,10.4,38.5,100,2.8,1.2,FALSE
1979,10,30,10/30/1979,16.65,30.55,9.3,44.1,98.8,7.7,1.16,FALSE
1979,10,31,10/31/1979,14.35,26.15,15.3,43.9,100,4.7,0.8,FALSE
1979,11,1,11/1/1979,6.05,18.45,0,35.3,100,3.9,0.58,FALSE
1979,11,2,11/2/1979,1.65,18.75,0,34,99.8,3.7,0.68,FALSE
1979,11,3,11/3/1979,2.95,18.55,0,28.8,87.4,2.2,0.75,FALSE
1979,11,4,11/4/1979,2.65,18.55,0,29.9,82.4,2.3,0.78,FALSE
1979,11,5,11/5/1979,2.15,21.05,0,34,86.1,2.5,0.75,FALSE
1979,11,6,11/6/1979,9.05,20.05,0,39.7,90.1,3.4,0.66,FALSE
